投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,チェンジアップ,124km/h,ボール,山﨑 福也,野村 大樹,3-5,top:16px; left:22px;
2,チェンジアップ,126km/h,見逃し,山﨑 福也,野村 大樹,3-5,top:48px; left:30px;
3,ストレート,145km/h,右安,山﨑 福也,野村 大樹,3-5,top:113px; left:90px;
1,チェンジアップ,120km/h,二ゴロ  [バットの先、併殺崩れ],山﨑 福也,リチャード,3-5,top:124px; left:52px;
1,ストレート,147km/h,見逃し,山﨑 福也,甲斐 拓也,3-5,top:45px; left:48px;
2,ストレート,144km/h,ボール,山﨑 福也,甲斐 拓也,3-5,top:163px; left:32px;
3,チェンジアップ,123km/h,遊併打  [バットの先],山﨑 福也,甲斐 拓也,3-5,top:124px; left:27px;
1,ストレート,149km/h,見逃し,武田 翔太,中川 圭太,3-5,top:84px; left:57px;
2,フォーク,135km/h,ボール  [ワンバウンド],武田 翔太,中川 圭太,3-5,top:172px; left:68px;
3,スライダー,139km/h,空振り  [ワンバウンド、ハーフスイング],武田 翔太,中川 圭太,3-5,top:172px; left:43px;
4,ストレート,149km/h,右安,武田 翔太,中川 圭太,3-5,top:54px; left:60px;
1,ストレート,148km/h,見逃し,武田 翔太,吉田 正尚,3-5,top:127px; left:108px;
2,ストレート,148km/h,ファウル,武田 翔太,吉田 正尚,3-5,top:59px; left:28px;
3,カーブ,128km/h,二併打,武田 翔太,吉田 正尚,3-5,top:155px; left:107px;
1,ストレート,145km/h,見逃し,武田 翔太,杉本 裕太郎,3-5,top:96px; left:73px;
2,フォーク,141km/h,ボール,武田 翔太,杉本 裕太郎,3-5,top:169px; left:70px;
3,ストレート,147km/h,空振り,武田 翔太,杉本 裕太郎,3-5,top:115px; left:44px;
4,ストレート,146km/h,ボール,武田 翔太,杉本 裕太郎,3-5,top:18px; left:89px;
5,カーブ,126km/h,ボール  [ワンバウンド],武田 翔太,杉本 裕太郎,3-5,top:173px; left:70px;
6,カーブ,129km/h,四球,武田 翔太,杉本 裕太郎,3-5,top:168px; left:29px;
1,スライダー,139km/h,ボール,武田 翔太,マッカーシー,3-5,top:23px; left:68px;
2,カーブ,117km/h,ボール,武田 翔太,マッカーシー,3-5,top:18px; left:125px;
3,スライダー,137km/h,ボール,武田 翔太,マッカーシー,3-5,top:14px; left:103px;
4,ストレート,148km/h,四球,武田 翔太,マッカーシー,3-5,top:22px; left:118px;
1,スライダー,142km/h,遊ゴロ  [バットの先],武田 翔太,安達 了一,3-5,top:104px; left:30px;
1,ストレート,146km/h,見逃し,山﨑 福也,野村 勇,3-5,top:139px; left:109px;
2,スライダー,136km/h,ボール  [ワンバウンド],山﨑 福也,野村 勇,3-5,top:172px; left:116px;
3,チェンジアップ,123km/h,ボール,山﨑 福也,野村 勇,3-5,top:152px; left:64px;
4,ストレート,144km/h,左安,山﨑 福也,野村 勇,3-5,top:120px; left:83px;
1,ストレート,144km/h,投犠打  [セーフティバント、送球がバウンド、間一髪],山﨑 福也,佐藤 直樹,3-5,top:47px; left:62px;
1,ストレート,144km/h,ファウル,山﨑 福也,柳田 悠岐,4-5,top:54px; left:20px;
2,フォーク,134km/h,中安  [内野一塁寄り、シフトが裏目に出る],山﨑 福也,柳田 悠岐,4-5,top:93px; left:87px;
1,チェンジアップ,123km/h,見逃し,山﨑 福也,デスパイネ,4-5,top:114px; left:52px;
2,スライダー,127km/h,見逃し,山﨑 福也,デスパイネ,4-5,top:144px; left:88px;
3,ストレート,145km/h,ボール,山﨑 福也,デスパイネ,4-5,top:22px; left:118px;
4,チェンジアップ,124km/h,ボール,山﨑 福也,デスパイネ,4-5,top:24px; left:12px;
5,フォーク,131km/h,空三振  [ワンバウンド],山﨑 福也,デスパイネ,4-5,top:174px; left:72px;
