投球数,球種,球速,結果,投手,打者,スコア,投球コース
6,ストレート,149km/h,ボール,大野 雄大,廣岡 大志,0-0,top:16px; left:84px;
7,フォーク,137km/h,空三振,大野 雄大,廣岡 大志,0-0,top:156px; left:25px;
1,ストレート,149km/h,ボール,大野 雄大,ポランコ,0-0,top:11px; left:53px;
2,ストレート,148km/h,ボール,大野 雄大,ポランコ,0-0,top:15px; left:36px;
3,ストレート,148km/h,空振り,大野 雄大,ポランコ,0-0,top:52px; left:40px;
4,ストレート,149km/h,中安,大野 雄大,ポランコ,0-0,top:75px; left:108px;
1,ツーシーム,142km/h,ボール,大野 雄大,岡本 和真,0-0,top:18px; left:60px;
2,ストレート,147km/h,見逃し,大野 雄大,岡本 和真,0-0,top:64px; left:96px;
3,ツーシーム,141km/h,ファウル,大野 雄大,岡本 和真,0-0,top:99px; left:78px;
4,ストレート,148km/h,ボール,大野 雄大,岡本 和真,0-0,top:21px; left:103px;
5,フォーク,140km/h,ファウル,大野 雄大,岡本 和真,0-0,top:158px; left:98px;
6,フォーク,138km/h,ファウル,大野 雄大,岡本 和真,0-0,top:126px; left:69px;
7,ストレート,148km/h,左飛,大野 雄大,岡本 和真,0-0,top:68px; left:89px;
1,ストレート,144km/h,見逃し,菅野 智之,ビシエド,0-0,top:88px; left:32px;
2,ストレート,145km/h,ボール,菅野 智之,ビシエド,0-0,top:55px; left:4px;
3,スライダー,133km/h,ファウル,菅野 智之,ビシエド,0-0,top:70px; left:49px;
4,ストレート,149km/h,ファウル,菅野 智之,ビシエド,0-0,top:89px; left:103px;
5,ストレート,148km/h,ボール,菅野 智之,ビシエド,0-0,top:51px; left:16px;
6,スライダー,134km/h,右飛,菅野 智之,ビシエド,0-0,top:110px; left:30px;
1,カーブ,123km/h,ファウル,菅野 智之,木下 拓哉,0-0,top:107px; left:72px;
2,ストレート,147km/h,ボール,菅野 智之,木下 拓哉,0-0,top:156px; left:28px;
3,カットボール,141km/h,二飛,菅野 智之,木下 拓哉,0-0,top:130px; left:68px;
1,カットボール,140km/h,ボール,菅野 智之,阿部 寿樹,0-0,top:118px; left:16px;
2,カットボール,139km/h,ボール  [ハーフスイング],菅野 智之,阿部 寿樹,0-0,top:158px; left:25px;
3,カットボール,140km/h,見逃し,菅野 智之,阿部 寿樹,0-0,top:87px; left:35px;
4,スライダー,132km/h,中飛,菅野 智之,阿部 寿樹,0-0,top:128px; left:35px;
1,カットボール,133km/h,ボール,大野 雄大,中田 翔,0-0,top:15px; left:68px;
2,フォーク,138km/h,三ゴロ,大野 雄大,中田 翔,0-0,top:112px; left:68px;
1,ストレート,147km/h,ボール,大野 雄大,丸 佳浩,0-1,top:40px; left:11px;
2,カットボール,136km/h,空振り,大野 雄大,丸 佳浩,0-1,top:151px; left:125px;
3,ストレート,148km/h,ボール,大野 雄大,丸 佳浩,0-1,top:15px; left:40px;
4,ストレート,146km/h,右本,大野 雄大,丸 佳浩,0-1,top:66px; left:89px;
1,カットボール,134km/h,見逃し,大野 雄大,ウィーラー,0-1,top:61px; left:68px;
2,ストレート,148km/h,右飛,大野 雄大,ウィーラー,0-1,top:99px; left:75px;
1,ツーシーム,139km/h,遊飛,大野 雄大,小林 誠司,0-1,top:92px; left:40px;
